team,group,pld_round_of_16,won_round_of_16,pld_quarter_finals,won_quarter_finals,pld_semi_finals,won_semi_finals,pld_third_place,won_third_place,pld_finals,won_finals
Netherlands,group 1,match 1,won,match 1,lost,did not play,lost,did not play,lost,did not play,lost
Senegal,group 1,match 5,lost,did not play,lost,did not play,lost,did not play,lost,did not play,lost
Ecuador,group 1,did not play,lost,did not play,lost,did not play,lost,did not play,lost,did not play,lost
Qatar,group 1,did not play,lost,did not play,lost,did not play,lost,did not play,lost,did not play,lost
England,group 2,match 5,won,match 3,lost,did not play,lost,did not play,lost,did not play,lost
United States,group 2,match 1,lost,did not play,lost,did not play,lost,did not play,lost,did not play,lost
Iran,group 2,did not play,lost,did not play,lost,did not play,lost,did not play,lost,did not play,lost
Wales,group 2,did not play,lost,did not play,lost,did not play,lost,did not play,lost,did not play,lost
Argentina,group 3,match 2,won,match 1,won,match 1,won,did not play,lost,match 1,won
Poland,group 3,match 6,lost,did not play,lost,did not play,lost,did not play,lost,did not play,lost
Mexico,group 3,did not play,lost,did not play,lost,did not play,lost,did not play,lost,did not play,lost
Saudi Arabia,group 3,did not play,lost,did not play,lost,did not play,lost,did not play,lost,did not play,lost
France,group 4,match 6,won,match 3,won,match 2,won,match 1,lost,match 1,lost
Australia,group 4,match 2,lost,did not play,lost,did not play,lost,did not play,lost,did not play,lost
Tunisia,group 4,did not play,lost,did not play,lost,did not play,lost,did not play,lost,did not play,lost
Denmark,group 4,did not play,lost,did not play,lost,did not play,lost,did not play,lost,did not play,lost
Japan,group 5,match 3,lost,did not play,lost,did not play,lost,did not play,lost,did not play,lost
Spain,group 5,match 7,lost,did not play,lost,did not play,lost,did not play,lost,did not play,lost
Germany,group 5,did not play,lost,did not play,lost,did not play,lost,did not play,lost,did not play,lost
Costa Rica,group 5,did not play,lost,did not play,lost,did not play,lost,did not play,lost,did not play,lost
Morocco,group 6,match 7,won,match 4,won,match 2,lost,did not play,lost,did not play,lost
Croatia,group 6,match 3,won,match 2,won,match 1,lost,match 1,won,did not play,lost
Belgium,group 6,did not play,lost,did not play,lost,did not play,lost,did not play,lost,did not play,lost
Canada,group 6,did not play,lost,did not play,lost,did not play,lost,did not play,lost,did not play,lost
Brazil,group 7,match 4,won,match 2,lost,did not play,lost,did not play,lost,did not play,lost
Switzerland,group 7,match 8,lost,did not play,lost,did not play,lost,did not play,lost,did not play,lost
Cameroon,group 7,did not play,lost,did not play,lost,did not play,lost,did not play,lost,did not play,lost
Serbia,group 7,did not play,lost,did not play,lost,did not play,lost,did not play,lost,did not play,lost
Portugal,group 8,match 8,won,match 4,lost,did not play,lost,did not play,lost,did not play,lost
Korea Republic,group 8,match 4,lost,did not play,lost,did not play,lost,did not play,lost,did not play,lost
Uruguay,group 8,did not play,lost,did not play,lost,did not play,lost,did not play,lost,did not play,lost
Ghana,group 8,did not play,lost,did not play,lost,did not play,lost,did not play,lost,did not play,lost
