team,goals_per90,assists_per90,goals_pens_per90,goals_assists_per90,goals_assists_pens_per90,shots_per90,shots_on_target_per90,xg_per90,xg_assist_per90,npxg_per90,xg_xg_assist_per90,npxg_xg_assist_per90,gk_shots_on_target_against,gk_save_pct,games_complete,gk_clean_sheets_pct,possession,passes_pct,average_shot_distance,dribbles_completed_pct,tackles_won,fouled,avg_age,cards_yellow,cards_red,cards_yellow_red,group,pld_round_of_16,won_round_of_16,pld_quarter_finals,won_quarter_finals,pld_semi_finals,won_semi_finals,pld_third_place,won_third_place,pld_finals,won_finals
Argentina,1.96,1.04,1.43,3.0,2.48,12.39,5.35,1.98,1.02,1.49,3.0,2.51,13,53.8,7,42.9,57.4,84.6,18.3,40.2,69,115,28.4,17,0,0,group C,Argentina-Australia,won,Argentina-Netherlands,won,Argentina-Croatia,won,did not play,lost,Argentina-France,won
Australia,0.75,0.75,0.75,1.5,1.5,6.5,2.0,0.58,0.48,0.58,1.06,1.06,18,66.7,4,50.0,37.8,73.9,18.5,28.3,30,34,28.7,7,0,0,group D,Argentina-Australia,lost,did not play,lost,did not play,lost,did not play,lost,did not play,lost
Belgium,0.33,0.33,0.33,0.67,0.67,11.67,3.0,1.57,1.27,1.57,2.85,2.85,11,81.8,3,66.7,57.0,84.8,15.6,42.2,27,35,30.6,5,0,0,group F,did not play,lost,did not play,lost,did not play,lost,did not play,lost,did not play,lost
Brazil,1.5,1.13,1.31,2.62,2.44,17.81,7.5,2.24,1.54,2.09,3.79,3.64,10,70.0,5,40.0,56.2,85.9,17.5,29.1,51,74,28.5,6,0,0,group G,Brazil-Korea Republic,won,Brazil-Croatia,lost,did not play,lost,did not play,lost,did not play,lost
Cameroon,1.33,1.33,1.33,2.67,2.67,9.33,5.33,1.14,0.66,1.14,1.8,1.8,15,73.3,3,33.3,41.7,76.7,16.4,43.6,20,38,28.0,8,1,1,group G,did not play,lost,did not play,lost,did not play,lost,did not play,lost,did not play,lost
Canada,0.33,0.33,0.33,0.67,0.67,11.33,1.33,1.41,0.95,1.18,2.35,2.13,15,53.3,3,0.0,52.0,82.4,17.0,37.8,23,37,28.2,8,0,0,group F,did not play,lost,did not play,lost,did not play,lost,did not play,lost,did not play,lost
Costa Rica,1.0,0.33,1.0,1.33,1.33,4.0,2.33,0.48,0.2,0.48,0.68,0.68,22,54.5,3,33.3,31.3,74.8,17.0,45.9,35,37,30.6,6,0,0,group E,did not play,lost,did not play,lost,did not play,lost,did not play,lost,did not play,lost
Croatia,1.04,1.04,1.04,2.09,2.09,10.3,3.39,0.91,0.74,0.91,1.65,1.65,31,80.6,7,28.6,54.3,83.3,18.5,40.4,83,90,29.2,8,0,0,group F,Croatia-Japan,won,Brazil-Croatia,won,Argentina-Croatia,lost,Croatia-Morocco,won,did not play,lost
Denmark,0.33,0.33,0.33,0.67,0.67,11.33,3.33,0.9,0.59,0.9,1.49,1.49,11,72.7,3,33.3,60.0,82.2,17.1,21.3,27,23,27.5,5,0,0,group D,did not play,lost,did not play,lost,did not play,lost,did not play,lost,did not play,lost
Ecuador,1.33,0.67,1.0,2.0,1.67,9.67,3.33,1.24,0.6,0.98,1.84,1.58,4,50.0,3,33.3,53.3,78.3,18.2,30.2,30,37,25.8,3,0,0,group A,did not play,lost,did not play,lost,did not play,lost,did not play,lost,did not play,lost
England,2.6,2.2,2.4,4.8,4.6,12.2,5.4,1.73,1.13,1.42,2.87,2.55,11,72.7,5,60.0,62.8,86.4,16.0,46.2,44,65,27.0,1,0,0,group B,England-Senegal,won,England-France,lost,did not play,lost,did not play,lost,did not play,lost
France,2.18,1.64,1.91,3.82,3.55,13.64,4.5,1.88,1.4,1.67,3.28,3.06,27,81.5,7,14.3,51.3,82.6,15.8,47.6,88,85,27.2,8,0,0,group D,Poland-France,won,England-France,won,France-Morocco,won,did not play,lost,Argentina-France,lost
Germany,2.0,1.67,1.67,3.67,3.33,22.67,7.67,3.35,2.5,3.09,5.85,5.59,13,61.5,3,0.0,59.3,84.7,16.6,48.4,27,27,28.1,3,0,0,group E,did not play,lost,did not play,lost,did not play,lost,did not play,lost,did not play,lost
Ghana,1.67,0.67,1.67,2.33,2.33,8.33,3.0,1.38,0.57,1.13,1.95,1.7,17,64.7,3,0.0,42.0,77.4,19.0,47.4,34,38,26.4,8,0,0,group H,did not play,lost,did not play,lost,did not play,lost,did not play,lost,did not play,lost
Iran,1.33,0.67,1.0,2.0,1.67,10.67,2.67,1.07,0.81,0.94,1.88,1.75,15,53.3,3,33.3,36.7,69.5,20.6,32.4,29,26,29.3,7,0,0,group B,did not play,lost,did not play,lost,did not play,lost,did not play,lost,did not play,lost
Japan,1.15,0.92,1.15,2.08,2.08,10.15,3.23,1.15,0.81,1.15,1.96,1.96,19,84.2,4,0.0,35.8,75.7,16.8,36.7,38,36,28.8,6,0,0,group E,Croatia-Japan,lost,did not play,lost,did not play,lost,did not play,lost,did not play,lost
Korea Republic,1.25,0.75,1.25,2.0,2.0,12.5,4.5,1.14,0.83,1.14,1.98,1.98,19,63.2,4,25.0,48.3,80.1,18.3,24.1,33,34,29.0,6,0,0,group H,Brazil-Korea Republic,lost,did not play,lost,did not play,lost,did not play,lost,did not play,lost
